2025-06-10 02:18:06 - WARNING - MUA Khong co tin hieu mua. Tiep tuc theo doi...
2025-06-10 02:37:42 - WARNING -  TIN HIEU HOP LE cho MUA: BABYUSDT | Gi: 0.0670 
2025-06-10 02:38:47 - WARNING -  TIN HIEU HOP LE cho MUA: BABYUSDT | Gi: 0.0670 
2025-06-10 02:39:48 - WARNING -  TIN HIEU HOP LE cho MUA: BABYUSDT | Gi: 0.0670 
2025-06-10 02:44:27 - WARNING -  TIN HIEU HOP LE cho MUA: BABYUSDT | Gi: 0.0670 
2025-06-10 02:51:37 - WARNING -  TIN HIEU HOP LE cho MUA: RVNUSDT | Gi: 0.0175 
2025-06-10 02:53:07 - WARNING -  TIN HIEU HOP LE cho MUA: RVNUSDT | Gi: 0.0175 
2025-06-10 21:52:14 - WARNING -  TIN HIEU HOP LE cho BAN: UMAUSDT | Gi: 1.5090
2025-06-10 21:53:15 - WARNING -  TIN HIEU HOP LE cho BAN: UMAUSDT | Gi: 1.5170
2025-06-10 21:54:17 - WARNING -  TIN HIEU HOP LE cho BAN: UMAUSDT | Gi: 1.5190
2025-06-10 21:55:18 - WARNING -  TIN HIEU HOP LE cho BAN: UMAUSDT | Gi: 1.5150
2025-06-10 21:56:20 - WARNING -  TIN HIEU HOP LE cho BAN: UMAUSDT | Gi: 1.5080
2025-06-10 21:57:21 - WARNING -  TIN HIEU HOP LE cho BAN: UMAUSDT | Gi: 1.5140
2025-06-10 21:58:23 - WARNING -  TIN HIEU HOP LE cho BAN: UMAUSDT | Gi: 1.5130
2025-06-10 21:59:24 - WARNING -  TIN HIEU HOP LE cho BAN: UMAUSDT | Gi: 1.5100
2025-06-10 22:00:26 - WARNING -  TIN HIEU HOP LE cho BAN: IOSTUSDT | Gi: 0.0042
2025-06-10 22:01:27 - WARNING -  TIN HIEU HOP LE cho BAN: IOSTUSDT | Gi: 0.0042
2025-06-10 22:02:29 - WARNING -  TIN HIEU HOP LE cho BAN: IOSTUSDT | Gi: 0.0042
